Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2012,2013,2014,2015,2016,2017,2018,2019,2020
MAR,Morocco,32534,CPI Score,Total,37,37,39,36,37,40,43,41,40
MAR,Morocco,32535,Rank,Rank,88,91,80,88,90,81,73,80,86
MDA,Moldova,32534,CPI Score,Total,36,35,35,33,30,31,33,32,34
MDA,Moldova,32535,Rank,Rank,94,102,103,103,123,122,117,120,115
MDG,Madagascar,32534,CPI Score,Total,32,28,28,28,26,24,25,24,25
MDG,Madagascar,32535,Rank,Rank,118,127,133,123,145,155,152,158,149
MDV,Maldives,32534,CPI Score,Total,,,,,36,33,31,29,43
MDV,Maldives,32535,Rank,Rank,,,,,95,112,124,130,75
MEX,Mexico,32534,CPI Score,Total,34,34,35,35,30,29,28,29,31
MEX,Mexico,32535,Rank,Rank,105,106,103,95,123,135,138,130,124
MKD,"Macedonia, FYR",32534,CPI Score,Total,43,44,,,,35,37,35,35
MKD,"Macedonia, FYR",32535,Rank,Rank,69,67,,,,107,93,106,111
MLI,Mali,32534,CPI Score,Total,34,28,32,35,32,31,32,29,30
MLI,Mali,32535,Rank,Rank,105,127,115,95,116,122,120,130,129
MLT,Malta,32534,CPI Score,Total,57,56,55,56,55,56,54,54,53
MLT,Malta,32535,Rank,Rank,43,45,43,37,47,46,51,50,52
MMR,Myanmar,32534,CPI Score,Total,15,21,21,22,28,30,29,29,28
MMR,Myanmar,32535,Rank,Rank,172,157,156,147,136,130,132,130,137
MNE,Montenegro,32534,CPI Score,Total,41,44,42,44,45,46,45,45,45
MNE,Montenegro,32535,Rank,Rank,75,67,76,61,64,64,67,66,67
MNG,Mongolia,32534,CPI Score,Total,36,38,39,39,38,36,37,35,35
MNG,Mongolia,32535,Rank,Rank,94,83,80,72,87,103,93,106,111
MOZ,Mozambique,32534,CPI Score,Total,31,30,31,31,27,25,23,26,25
MOZ,Mozambique,32535,Rank,Rank,123,119,119,112,142,153,158,146,149
MRT,Mauritania,32534,CPI Score,Total,31,30,30,31,27,28,27,28,29
MRT,Mauritania,32535,Rank,Rank,123,119,124,112,142,143,144,137,134
MUS,Mauritius,32534,CPI Score,Total,57,52,54,53,54,50,51,52,53
MUS,Mauritius,32535,Rank,Rank,43,52,47,45,50,54,56,56,52
MWI,Malawi,32534,CPI Score,Total,37,37,33,31,31,31,32,31,30
MWI,Malawi,32535,Rank,Rank,88,91,110,112,120,122,120,123,129
MYS,Malaysia,32534,CPI Score,Total,49,50,52,50,49,47,47,53,51
MYS,Malaysia,32535,Rank,Rank,54,53,50,54,55,62,61,51,57
NAM,Namibia,32534,CPI Score,Total,48,48,49,53,52,51,53,52,51
NAM,Namibia,32535,Rank,Rank,58,57,55,45,53,53,52,56,57
NER,Niger,32534,CPI Score,Total,33,34,35,34,35,33,34,32,32
NER,Niger,32535,Rank,Rank,113,106,103,99,101,112,114,120,123
NGA,Nigeria,32534,CPI Score,Total,27,25,27,26,28,27,27,26,25
NGA,Nigeria,32535,Rank,Rank,139,144,136,136,136,148,144,146,149
NIC,Nicaragua,32534,CPI Score,Total,29,28,28,27,26,26,25,22,22
NIC,Nicaragua,32535,Rank,Rank,130,127,133,130,145,151,152,161,159
NLD,Netherlands,32534,CPI Score,Total,84,83,83,87,83,82,82,82,82
NLD,Netherlands,32535,Rank,Rank,9,8,8,5,8,8,8,8,8
NOR,Norway,32534,CPI Score,Total,85,86,86,87,85,85,84,84,84
NOR,Norway,32535,Rank,Rank,7,5,5,5,6,3,7,7,7
NPL,Nepal,32534,CPI Score,Total,27,31,29,27,29,31,31,34,33
NPL,Nepal,32535,Rank,Rank,139,116,126,130,131,122,124,113,117
NZL,New Zealand,32534,CPI Score,Total,90,91,91,88,90,89,87,87,88
NZL,New Zealand,32535,Rank,Rank,1,1,2,4,1,1,2,1,1
OMN,Oman,32534,CPI Score,Total,47,47,45,45,45,44,52,52,54
OMN,Oman,32535,Rank,Rank,61,61,64,60,64,68,53,56,49
PAK,Pakistan,32534,CPI Score,Total,27,28,29,30,32,32,33,32,31
PAK,Pakistan,32535,Rank,Rank,139,127,126,117,116,117,117,120,124
PAN,Panama,32534,CPI Score,Total,38,35,37,39,38,37,37,36,35
PAN,Panama,32535,Rank,Rank,83,102,94,72,87,96,93,101,111
PER,Peru,32534,CPI Score,Total,38,38,38,36,35,37,35,36,38
PER,Peru,32535,Rank,Rank,83,83,85,88,101,96,105,101,94
PHL,Philippines,32534,CPI Score,Total,34,36,38,35,35,34,36,34,34
PHL,Philippines,32535,Rank,Rank,105,94,85,95,101,111,99,113,115
PNG,Papua New Guinea,32534,CPI Score,Total,25,25,25,25,28,29,28,28,27
PNG,Papua New Guinea,32535,Rank,Rank,150,144,145,139,136,135,138,137,142
POL,Poland,32534,CPI Score,Total,58,60,61,62,62,60,60,58,56
POL,Poland,32535,Rank,Rank,41,38,35,30,29,36,36,41,45
PRI,Puerto Rico,32534,CPI Score,Total,63,62,63,,,,,,
PRI,Puerto Rico,32535,Rank,Rank,33,33,31,,,,,,
PRK,"Korea, Dem. People’s Rep.",32534,CPI Score,Total,,,,,,,14,17,18
PRK,"Korea, Dem. People’s Rep.",32535,Rank,Rank,,,,,,,176,172,170
PRT,Portugal,32534,CPI Score,Total,63,62,63,63,62,63,64,62,61
PRT,Portugal,32535,Rank,Rank,33,33,31,28,29,29,30,30,33
PRY,Paraguay,32534,CPI Score,Total,25,24,24,27,30,29,29,28,28
PRY,Paraguay,32535,Rank,Rank,150,150,150,130,123,135,132,137,137
QAT,Qatar,32534,CPI Score,Total,68,68,69,71,61,63,62,62,63
QAT,Qatar,32535,Rank,Rank,27,28,26,22,31,29,33,30,30
ROU,Romania,32534,CPI Score,Total,,,,,,,47,44,44
ROU,Romania,32535,Rank,Rank,,,,,,,61,70,69
RUS,Russian Federation,32534,CPI Score,Total,28,28,27,29,29,29,28,28,30
RUS,Russian Federation,32535,Rank,Rank,133,127,136,119,131,135,138,137,129
RWA,Rwanda,32534,CPI Score,Total,53,53,49,54,54,55,56,53,54
RWA,Rwanda,32535,Rank,Rank,50,49,55,44,50,48,48,51,49
SAU,Saudi Arabia,32534,CPI Score,Total,44,46,49,52,46,49,49,53,53
SAU,Saudi Arabia,32535,Rank,Rank,66,63,55,48,62,57,58,51,52
SDN,Sudan,32534,CPI Score,Total,13,11,11,12,14,16,16,16,16
SDN,Sudan,32535,Rank,Rank,173,174,173,165,170,175,172,173,174
SEN,Senegal,32534,CPI Score,Total,36,41,43,44,45,45,45,45,45
SEN,Senegal,32535,Rank,Rank,94,77,69,61,64,66,67,66,67
SGP,Singapore,32534,CPI Score,Total,87,86,84,85,84,84,85,85,85
SGP,Singapore,32535,Rank,Rank,5,5,7,8,7,6,3,4,3
SLB,Solomon Islands,32534,CPI Score,Total,,,,,42,39,44,42,42
SLB,Solomon Islands,32535,Rank,Rank,,,,,72,85,70,77,78
SLE,Sierra Leone,32534,CPI Score,Total,31,30,31,29,30,30,30,33,33
SLE,Sierra Leone,32535,Rank,Rank,123,119,119,119,123,130,129,119,117
SLV,El Salvador,32534,CPI Score,Total,38,38,39,39,36,33,35,34,36
SLV,El Salvador,32535,Rank,Rank,83,83,80,72,95,112,105,113,104
SOM,Somalia,32534,CPI Score,Total,8,8,8,8,10,9,10,9,12
SOM,Somalia,32535,Rank,Rank,174,175,174,167,176,180,180,180,179
SRB,Serbia,32534,CPI Score,Total,39,42,41,40,42,41,39,39,38
SRB,Serbia,32535,Rank,Rank,80,72,78,71,72,77,87,91,94
SSD,South Sudan,32534,CPI Score,Total,,14,15,15,11,12,13,12,12
SSD,South Sudan,32535,Rank,Rank,,173,171,163,175,179,178,179,179
STP,Sao Tome and Principe,32534,CPI Score,Total,42,42,42,42,46,46,46,46,47
